datum,produkt,volym,belopp
2017-09-28 19:58,95-oktan,10.95,184.95
2017-09-28 14:42,Diesel,6.00,100.14
2017-09-28 11:33,95-oktan,39.25,662.93
2017-09-28 09:39,95-oktan,29.45,497.41
2017-09-28 08:15,Diesel,16.01,267.21
2017-09-28 08:12,Diesel,11.99,200.11
2017-09-27 17:32,95-oktan,33.74,569.87
2017-09-27 15:22,Diesel,59.92,"1,000.06"
2017-09-27 12:59,Diesel,41.95,700.15
2017-09-27 12:29,Diesel,5.68,94.80
2017-09-26 13:12,95-oktan,17.77,300.14
2017-09-26 12:44,Diesel,59.92,"1,000.06"
2017-09-26 12:40,Diesel,59.92,"1,000.06"
2017-09-26 11:43,95-oktan,23.69,400.12
2017-09-26 11:00,95-oktan,17.39,293.72
2017-09-25 17:28,95-oktan,17.77,300.14
2017-09-25 11:47,95-oktan,59.21,"1,000.06"
2017-09-24 19:14,95-oktan,5.93,100.16
2017-09-24 17:40,95-oktan,41.45,700.09
2017-09-24 15:35,95-oktan,29.61,500.11
2017-09-24 15:18,95-oktan,17.77,300.14
2017-09-24 14:57,95-oktan,45.79,773.39
2017-09-24 14:43,Diesel,48.10,802.79
2017-09-24 13:42,Diesel,59.92,"1,000.06"
2017-09-24 12:11,95-oktan,41.45,700.09
2017-09-24 11:22,95-oktan,29.61,500.11
2017-09-24 08:41,95-oktan,92.91,"1,569.25"
2017-09-23 18:08,Diesel,41.95,700.15
2017-09-23 17:33,95-oktan,29.61,500.11
2017-09-23 16:50,95-oktan,11.85,200.15
2017-09-23 15:58,Diesel,89.88,"1,500.10"
2017-09-23 14:39,95-oktan,17.77,300.14
2017-09-23 14:37,95-oktan,29.61,500.11
2017-09-23 12:47,Diesel,10.33,172.41
2017-09-23 08:48,Diesel,28.18,470.32
2017-09-22 10:25,Diesel,59.92,"1,000.06"
2017-09-22 09:40,95-oktan,23.69,400.12
2017-09-21 13:42,Diesel,13.02,217.30
2017-09-20 16:34,Diesel,18.00,300.42
2017-09-20 14:42,Diesel,11.01,183.76
2017-09-18 15:23,Diesel,65.41,"1,091.69"
2017-09-18 14:11,Diesel,59.92,"1,000.06"
2017-09-17 13:26,95-oktan,19.56,330.37
2017-09-17 11:48,95-oktan,29.61,500.11
2017-09-17 10:51,95-oktan,29.61,500.11
2017-09-17 10:08,Diesel,29.96,500.03
2017-09-17 10:06,Diesel,29.96,500.03
2017-09-16 18:01,Diesel,6.60,110.15
2017-09-16 17:59,Diesel,11.99,200.11
2017-09-16 17:30,95-oktan,59.21,"1,000.06"
2017-09-16 16:36,95-oktan,29.61,500.11
2017-09-16 16:31,95-oktan,20.28,342.53
2017-09-16 14:30,95-oktan,11.85,200.15
2017-09-16 14:13,95-oktan,52.16,880.98
2017-09-16 14:07,95-oktan,41.45,700.09
2017-09-16 13:45,Diesel,19.98,333.47
2017-09-16 13:42,Diesel,100.00,"1,669.00"
2017-09-16 12:16,95-oktan,29.61,500.11
2017-09-16 11:11,Diesel,40.06,668.60
2017-09-16 09:18,95-oktan,59.21,"1,000.06"
2017-09-16 09:10,Diesel,59.92,"1,000.06"
2017-09-16 08:42,95-oktan,29.61,500.11
2017-09-15 15:00,95-oktan,11.85,200.15
2017-09-15 13:05,Diesel,100.00,"1,669.00"
2017-09-15 11:45,95-oktan,29.61,500.11
2017-09-14 15:10,Diesel,11.99,200.11
2017-09-14 12:49,Diesel,26.11,435.78
2017-09-13 11:51,Diesel,19.71,328.96
2017-09-12 15:12,Diesel,10.01,167.07
2017-09-10 18:27,95-oktan,100.00,"1,689.00"
2017-09-09 15:46,95-oktan,11.85,200.15
2017-09-09 15:45,95-oktan,17.77,300.14
2017-09-09 11:33,95-oktan,81.86,"1,382.62"
2017-09-09 10:53,Diesel,17.98,300.09
2017-09-07 15:52,95-oktan,29.61,500.11
2017-09-07 14:32,Diesel,18.59,310.27
2017-09-06 11:18,Diesel,5.01,83.62
2017-09-04 12:55,95-oktan,29.61,500.11
2017-09-03 17:22,Diesel,59.92,"1,000.06"
2017-09-03 14:11,Diesel,20.50,342.14
2017-09-03 13:36,95-oktan,29.61,500.11
2017-09-03 13:18,95-oktan,41.45,700.09
2017-09-03 13:11,Diesel,29.96,500.03
2017-09-03 11:30,Diesel,17.13,285.90
2017-09-03 11:28,Diesel,29.96,500.03
2017-09-03 11:26,Diesel,41.95,700.15
2017-09-03 07:48,95-oktan,5.88,99.31
2017-09-02 18:24,95-oktan,5.33,90.02
2017-09-02 17:28,95-oktan,43.31,731.51
2017-09-02 15:59,95-oktan,5.93,100.16
2017-09-02 15:57,95-oktan,5.93,100.16
2017-09-02 15:50,Diesel,99.81,"1,665.83"
2017-09-02 15:09,95-oktan,59.21,"1,000.06"
2017-09-02 14:43,Diesel,59.92,"1,000.06"
2017-09-02 14:16,95-oktan,11.85,200.15
2017-09-02 14:13,95-oktan,17.18,290.17
2017-09-02 14:09,95-oktan,29.61,500.11
2017-09-02 14:06,95-oktan,29.61,500.11
2017-09-02 13:59,[Ingen produkt],0.00,0.00
2017-09-02 13:56,Diesel,77.33,"1,290.64"
2017-09-02 13:28,Diesel,17.98,300.09
2017-09-02 13:15,95-oktan,34.37,580.51
2017-09-02 13:04,95-oktan,51.33,866.96
2017-09-02 12:06,95-oktan,5.93,100.16
2017-09-02 11:28,95-oktan,59.21,"1,000.06"
2017-09-02 11:21,Diesel,12.51,208.79
2017-09-02 11:19,Diesel,41.95,700.15
2017-09-02 10:48,95-oktan,11.85,200.15
2017-09-02 10:32,95-oktan,41.45,700.09
2017-09-02 10:18,Diesel,29.96,500.03
2017-09-02 08:44,Diesel,28.96,483.34
2017-09-02 07:58,95-oktan,23.98,405.02
2017-09-01 18:23,95-oktan,29.61,500.11
2017-09-01 09:59,Diesel,59.92,"1,000.06"
2017-09-01 09:55,Diesel,100.00,"1,669.00"
2017-09-01 09:50,Diesel,59.92,"1,000.06"
2017-08-29 13:33,Diesel,11.21,187.09
2017-08-29 09:31,Diesel,40.14,669.94
2017-08-28 10:25,Diesel,14.95,249.52
2017-08-28 08:54,Diesel,39.10,652.58
2017-08-27 20:53,Diesel,100.00,"1,669.00"
2017-08-27 20:49,Diesel,100.00,"1,669.00"
2017-08-27 20:45,Diesel,100.00,"1,669.00"
2017-08-27 13:56,95-oktan,16.72,282.40
2017-08-27 13:46,95-oktan,85.28,"1,440.38"
2017-08-27 13:25,Diesel,22.63,377.69
2017-08-27 11:49,95-oktan,11.85,200.15
2017-08-27 11:48,Diesel,29.96,500.03
2017-08-27 11:33,95-oktan,100.00,"1,689.00"
2017-08-27 11:08,Diesel,39.88,665.60
2017-08-27 11:05,Diesel,6.00,100.14
2017-08-27 09:07,95-oktan,5.93,100.16
2017-08-26 17:27,95-oktan,10.81,182.58
2017-08-26 17:24,95-oktan,16.18,273.28
2017-08-26 15:34,Diesel,20.23,337.64
2017-08-26 15:32,Diesel,56.34,940.31
2017-08-26 15:03,Diesel,41.95,700.15
2017-08-26 14:39,95-oktan,25.30,427.32
2017-08-26 14:33,95-oktan,14.49,244.74
2017-08-26 14:27,Diesel,44.55,743.54
2017-08-26 14:10,95-oktan,59.21,"1,000.06"
2017-08-26 13:45,95-oktan,11.85,200.15
2017-08-26 13:35,95-oktan,41.45,700.09
2017-08-26 12:54,95-oktan,17.77,300.14
2017-08-26 12:24,Diesel,59.55,993.89
2017-08-26 11:45,95-oktan,59.21,"1,000.06"
2017-08-26 11:40,95-oktan,25.08,423.60
2017-08-26 11:33,Diesel,41.95,700.15
2017-08-26 10:26,Diesel,17.98,300.09
2017-08-26 10:23,Diesel,29.96,500.03
2017-08-26 09:26,95-oktan,29.61,500.11
2017-08-25 21:07,Diesel,22.53,376.03
2017-08-25 14:36,95-oktan,88.81,"1,500.00"
2017-08-25 11:26,Diesel,59.92,"1,000.06"
2017-08-25 11:21,Diesel,59.08,986.05
2017-08-25 08:13,95-oktan,99.47,"1,680.05"
2017-08-24 15:55,Diesel,8.99,150.04
2017-08-24 15:14,95-oktan,59.21,"1,000.06"
